|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |
|0+  |     0|0011000000111001|  0  |      0|   0   |    0|    0|
|1   |     0|0011000000111001|  0  |      0|   0   |12345|    0|
|1+  |     0|1110110000010000|  0  |      0|   0   |12345|    0|
|2   |     0|1110110000010000|  0  |      0|   0   |12345|    1|
|2+  |     0|0101101110100000|  0  |     -1|   0   |12345|    1|
|3   |     0|0101101110100000|  0  |     -1|   0   |23456|    2|
|3+  |     0|1110000111010000|  0  | -23456|   0   |23456|    2|
|4   |     0|1110000111010000|  0  |  18624|   0   |23456|    3|
|4+  |     0|0000001111101000|  0  | -23456|   0   |23456|    3|
|5   |     0|0000001111101000|  0  |  -1000|   0   | 1000|    4|
|5+  |     0|1110001100001000|  0  |      0|   1   | 1000|    4|
|6   |     0|1110001100001000|  0  |      0|   1   | 1000|    5|
|6+  |     0|0000001111101001|  0  |  -1000|   0   | 1000|    5|
|7   |     0|0000001111101001|  0  |  -1001|   0   | 1001|    6|
|7+  |     0|1110001110011000|  0  |     -1|   1   | 1001|    6|
|8   |     0|1110001110011000|  0  |     -1|   1   | 1001|    7|
|8+  |     0|0000001111101000|  0  |  -1001|   0   | 1001|    7|
|9   |     0|0000001111101000|  0  |  -1000|   0   | 1000|    8|
|9+  | 11111|1111010011010000|  0  |   1001|   0   | 1000|    8|
|10  | 11111|1111010011010000|  0  |     -1|   0   | 1000|    9|
|10+ | 11111|0000000000001110|  0  |   1000|   0   | 1000|    9|
|11  | 11111|0000000000001110|  0  |      8|   0   |   14|   10|
|11+ | 11111|1110001100000100|  0  |     14|   0   |   14|   10|
|12  | 11111|1110001100000100|  0  |     14|   0   |   14|   11|
|12+ | 11111|0000001111100111|  0  |    -14|   0   |   14|   11|
|13  | 11111|0000001111100111|  0  |   -999|   0   |  999|   14|
|13+ | 11111|1110110111100000|  0  |   1002|   0   |  999|   14|
|14  | 11111|1110110111100000|  0  |   1002|   0   | 1002|   15|
|14+ | 11111|1110001100001000|  0  |  11111|   1   | 1002|   15|
|15  | 11111|1110001100001000|  0  |  11111|   1   | 1002|   16|
|15+ | 11111|0000000000010101|  0  |   1000|   0   | 1002|   16|
|16  | 11111|0000000000010101|  0  |      1|   0   |   21| 1002|
|16+ | 11111|1110011111000010|  0  |     22|   0   |   21| 1002|
|17  | 11111|1110011111000010|  0  |     22|   0   |   21| 1003|
|17+ | 11111|0000000000000010|  0  |      1|   0   |   21| 1003|
|18  | 11111|0000000000000010|  0  |      0|   0   |    2| 1004|
|18+ | 11111|1110000010010000|  0  |   1003|   0   |    2| 1004|
|19  | 11111|1110000010010000|  0  |   1005|   0   |    2| 1005|
|19+ | 11111|0000001111101000|  0  |     -2|   0   |    2| 1005|
|20  | 11111|0000001111101000|  0  |  -1000|   0   | 1000| 1006|
|20+ | 11111|1110111010010000|  0  |     -1|   0   | 1000| 1006|
|21  | 11111|1110111010010000|  0  |     -1|   0   | 1000| 1007|
|21+ | 11111|1110001100000001|  0  |   1000|   0   | 1000| 1007|
|22  | 11111|1110001100000001|  0  |   1000|   0   | 1000| 1000|
|22+ | 11111|1110001100000010|  0  |   1000|   0   | 1000| 1000|
|23  | 11111|1110001100000010|  0  |   1000|   0   | 1000| 1001|
|23+ | 11111|1110001100000011|  0  |   1000|   0   | 1000| 1001|
|24  | 11111|1110001100000011|  0  |   1000|   0   | 1000| 1000|
|24+ | 11111|1110001100000100|  0  |   1000|   0   | 1000| 1000|
|25  | 11111|1110001100000100|  0  |   1000|   0   | 1000| 1001|
|25+ | 11111|1110001100000101|  0  |   1000|   0   | 1000| 1001|
|26  | 11111|1110001100000101|  0  |   1000|   0   | 1000| 1000|
|26+ | 11111|1110001100000110|  0  |   1000|   0   | 1000| 1000|
|27  | 11111|1110001100000110|  0  |   1000|   0   | 1000| 1001|
|27+ | 11111|1110001100000111|  0  |   1000|   0   | 1000| 1001|
|28  | 11111|1110001100000111|  0  |   1000|   0   | 1000| 1000|
|28+ | 11111|1110101010010000|  0  |      0|   0   | 1000| 1000|
|29  | 11111|1110101010010000|  0  |      0|   0   | 1000| 1001|
|29+ | 11111|1110001100000001|  0  |   1000|   0   | 1000| 1001|
|30  | 11111|1110001100000001|  0  |   1000|   0   | 1000| 1000|
|30+ | 11111|1110001100000010|  0  |   1000|   0   | 1000| 1000|
|31  | 11111|1110001100000010|  0  |   1000|   0   | 1000| 1001|
